Asset_ID,A_Code,A_Name,Price
1,TPRAS,Tüpraþ-Türkiye Petrol Rafinerileri A.Þ.,96.6
2,KCHOL,Koç Holding A.Þ.,18.89
3,TCELL,Turkcell Ýletiþim Hizmetleri A.Þ.,15.17
4,TTKOM,Turk Telekominasyon A.Þ.,6.67
5,BIMAS,Bim Birleþik Maðazalar A.Þ.,64.7
6,CCOLA,Coca Cola Ýçecek A.Þ.,82.95
7,THYAO,Turk Hava Yollarý A.O.,12.99
8,VESTL,Vestel Elektronik Sanayi ve Ticaret A.Þ.,29.1
9,PGSUS,Pegasus Hava Taþýmacýlýðý A.Þ.,81.35
10,ULKER,Ülker Bisküvi Sanayi A.Þ.,22.46
11,GC1!,Altýn Vadelileri,15083.5
12,SI1!,Gümüþ Vadelileri,226.3
13,NG1!,Doðal Gaz Vadelileri,24.36
14,CL1!,Hafif Ham Petrol Vadelileri,534.55
15,USD,Dollar,8.2
