Transaction_ID,T_Date,Reciving_ID,Sending_ID,Explanation
1,1990-7-13,2521,2493,Trade
2,1990-7-15,2535,2555,Trade
3,1990-9-26,2543,2536,Trade
4,1990-10-30,2560,2493,Trade
5,1991-1-10,2599,2555,Trade
6,1991-1-11,2579,2584,Trade
7,1991-1-28,2514,2543,Trade
8,1991-1-29,2512,2522,Trade
9,1991-1-30,2525,2576,Trade
10,1991-3-4,2519,2531,Trade
11,1991-3-5,2535,2548,Trade
12,1991-4-21,2572,2520,Trade
13,1991-4-28,2512,2582,Trade
14,1991-5-7,2501,2549,Trade
15,1991-5-12,2506,2590,Trade
16,1991-6-21,2552,2508,Trade
17,1991-8-4,2582,2556,Trade
18,1991-9-2,2561,2520,Trade
19,1992-3-5,2519,2594,Trade
20,1992-3-9,2499,2584,Trade
21,1992-5-17,2542,2575,Trade
22,1992-5-25,2511,2547,Trade
23,1992-7-27,2565,2491,Trade
24,1992-9-4,2538,2516,Trade
25,1992-10-7,2531,2537,Trade
26,1992-10-11,2551,2538,Trade
27,1992-12-1,2497,2521,Trade
28,1992-12-24,2544,2504,Trade
29,1992-12-30,2597,2578,Trade
30,1993-4-11,2540,2545,Trade
31,1993-4-13,2576,2509,Trade
32,1993-5-13,2537,2509,Trade
33,1993-7-3,2569,2520,Trade
34,1993-9-12,2581,2578,Trade
35,1993-9-28,2559,2521,Trade
36,1993-10-13,2503,2594,Trade
37,1994-2-5,2496,2595,Trade
38,1994-3-11,2546,2574,Trade
39,1994-3-27,2575,2546,Trade
40,1994-4-14,2585,2559,Trade
41,1994-5-5,2575,2586,Trade
42,1994-6-13,2488,2546,Trade
43,1994-8-29,2548,2492,Trade
44,1994-9-16,2549,2586,Trade
45,1994-9-27,2529,2560,Trade
46,1994-10-14,2540,2555,Trade
47,1994-12-15,2564,2595,Trade
48,1995-4-8,2518,2555,Trade
49,1995-4-26,2596,2545,Trade
50,1995-5-16,2594,2542,Trade
51,1995-6-6,2531,2495,Trade
52,1995-6-23,2533,2492,Trade
53,1995-7-3,2566,2545,Trade
54,1995-9-25,2552,2502,Trade
55,1995-11-17,2590,2491,Trade
56,1995-11-20,2525,2546,Trade
57,1995-12-17,2545,2512,Trade
58,1995-12-24,2523,2504,Trade
59,1995-12-27,2597,2505,Trade
60,1996-1-7,2505,2556,Trade
61,1996-3-2,2573,2526,Trade
62,1996-3-8,2530,2532,Trade
63,1996-4-17,2498,2595,Trade
64,1996-6-10,2496,2521,Trade
65,1996-8-26,2597,2573,Trade
66,1996-9-13,2561,2489,Trade
67,1996-10-4,2598,2577,Trade
68,1996-10-19,2495,2551,Trade
69,1996-10-21,2576,2503,Trade
70,1997-1-8,2509,2490,Trade
71,1997-2-1,2550,2581,Trade
72,1997-2-12,2557,2499,Trade
73,1997-2-22,2567,2565,Trade
74,1997-3-29,2562,2566,Trade
75,1997-4-12,2515,2596,Trade
76,1997-4-13,2537,2580,Trade
77,1997-4-25,2578,2516,Trade
78,1997-8-5,2588,2572,Trade
79,1997-8-31,2524,2526,Trade
80,1997-9-14,2580,2554,Trade
81,1997-9-20,2532,2508,Trade
82,1997-11-4,2549,2584,Trade
83,1997-11-30,2562,2550,Trade
84,1998-2-8,2563,2586,Trade
85,1998-3-4,2532,2562,Trade
86,1998-3-5,2541,2500,Trade
87,1998-8-7,2569,2521,Trade
88,1998-8-24,2534,2505,Trade
89,1998-9-18,2581,2588,Trade
90,1998-10-20,2512,2516,Trade
91,1998-11-26,2598,2551,Trade
92,1999-2-18,2556,2509,Trade
93,1999-2-25,2502,2500,Trade
94,1999-5-31,2490,2494,Trade
95,1999-9-17,2526,2577,Trade
96,1999-10-7,2516,2557,Trade
97,1999-11-26,2528,2509,Trade
98,2000-3-16,2530,2532,Trade
99,2000-3-27,2536,2488,Trade
100,2000-3-29,2517,2567,Trade
101,2000-6-1,2493,2577,Trade
102,2000-6-2,2503,2570,Trade
103,2000-6-26,2553,2501,Trade
104,2000-7-29,2529,2499,Trade
105,2000-8-18,2580,2586,Trade
106,2000-8-30,2501,2593,Trade
107,2000-9-4,2520,2571,Trade
